,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
Project = 1,0.653709442,0.64265457,0.543347885,0.458114526,0.42406449,0.463480954,0.438799976,0.433923278,0.404286498,0.785481045,0.499480251,0.591239253,0.71644105,0.668759229,0.625882491,0.624784868,0.657609481,0.707280431
Project = 2,0.690953198,0.623299913,0.650128534,0.565227847,0.459930831,0.477802934,0.474698382,0.444315635,0.401897384,0.784149995,0.805075695,0.556501662,0.62825048,0.665756999,0.541848919,0.570302738,0.621326084,0.714984464
Project = 3,0.79507639,0.710524667,0.66186964,0.570313714,0.51911642,0.468785531,0.468629994,0.477608242,0.453664943,0.817964614,0.701102264,0.796954919,0.824301338,0.933985424,0.850555309,0.893156941,0.829701588,0.869199507
Project = 4,0.749746277,0.666459805,0.672216149,0.594073574,0.505749139,0.506128234,0.466842659,0.468874663,0.474420983,0.785745721,0.894817221,0.696680767,0.753253845,0.812042196,0.817441884,0.838989422,0.828454799,0.818913817
Project = 5,0.782107881,0.732806743,0.575652587,0.565738636,0.522704092,0.505663603,0.454026024,0.455728404,0.460068434,0.740465162,0.781119443,0.822753592,0.831834155,0.883449507,0.822381651,0.857327535,0.801529874,0.822175737
Project = 6,0.797295335,0.740636873,0.754200503,0.53859069,0.504954193,0.531547472,0.409144625,0.364135871,0.371547167,0.678048106,0.762995033,0.679280837,0.712717984,0.821582331,0.636450253,0.710974359,0.819619182,0.778603394
Project = 7,0.890125743,0.64851193,0.515239605,0.589636878,0.576368396,0.496803837,0.498324018,0.448442181,0.43312474,0.233052976,0.438445252,0.584813153,0.44667813,0.442922437,0.424226248,0.444490423,0.476419967,0.446795622
Project = 8,0.902270801,0.729913005,0.552292499,0.550904913,0.46274928,0.422164558,0.375230371,0.469357382,0.425468246,0.459841916,0.689145928,0.793923866,0.770283641,0.795058053,0.798663523,0.912770029,0.743448675,0.763580347
Project = 9,0.903398969,0.667293701,0.636609885,0.544208963,0.55995354,0.570261597,0.506451242,0.408665753,0.435325773,0.607454701,0.761975478,0.579289843,0.712074238,0.657835288,0.668726654,0.689387401,0.719419473,0.741595389
Project = 10,0.975594052,0.861349794,0.650386449,0.560543804,0.560721901,0.565588723,0.506872258,0.471264879,0.398390701,0.224136968,0.388644416,0.604984173,0.761472861,0.682073197,0.693464032,0.731423834,0.752688913,0.807750669
Project = 11,0.978400927,0.841733404,0.717790086,0.599169056,0.592600264,0.596737478,0.535806939,0.469033513,0.47105418,0.357744933,0.548124001,0.642109906,0.748756598,0.664730932,0.736320729,0.759558414,0.815784466,0.764346806
Project = 12,0.755035086,0.586631078,0.456137336,0.461477032,0.4108253,0.373457364,0.399632527,0.378251014,0.328783099,0.562333571,0.696094364,0.71765756,0.859885457,0.87276608,0.92074893,0.925046999,0.927785507,0.996340753
Project = 13,0.899080485,0.593356981,0.468622709,0.403718365,0.463254988,0.386425515,0.375261344,0.338473083,0.393513068,0.046447061,0.458581973,0.555765526,0.58096484,0.503017775,0.606928574,0.603999721,0.559157695,0.552753511
Project = 14,0.868264192,0.688810792,0.665201109,0.504755486,0.435966784,0.363634961,0.391356576,0.344051282,0.34067972,0.622975225,0.639563714,0.561092949,0.620975869,0.680867219,0.753969679,0.725543858,0.76097346,0.789933928
Project = 15,0.979531129,0.781379851,0.74980375,0.586840456,0.548191628,0.49289629,0.506169259,0.423680816,0.354614658,0.011942064,0.532535772,0.489615813,0.627532969,0.604871355,0.783875593,0.738896164,0.761030075,0.807161169
Project = 16,0.906806317,0.798057766,0.747010235,0.655185231,0.561676699,0.561467543,0.499657392,0.412031491,0.415604535,0.681559916,0.536235537,0.490403814,0.652763613,0.66496698,0.81359393,0.767799248,0.767890416,0.796870501
Project = 17,0.940854957,0.833736197,0.796619813,0.642731053,0.578818808,0.571992068,0.499564591,0.470762924,0.480621341,0.722413021,0.890132448,0.481757499,0.605683819,0.744557764,0.633075114,0.679824735,0.69576752,0.715529446
Project = 18,0.949591026,0.79680435,0.661175788,0.56318943,0.49650573,0.500859053,0.513998133,0.483051301,0.458367884,0.69882568,0.790049755,0.8373171,0.872138937,0.848753343,0.702005039,0.586426341,0.641060943,0.682150834
Project = 19,0.963521731,0.943330284,0.793249412,0.681602763,0.598813038,0.510886072,0.473550321,0.417814155,0.419949317,0.024051387,0.283335845,0.477671356,0.60854768,0.712400319,0.725451619,0.740735871,0.765232809,0.743811485
Project = 20,0.968302713,0.948709599,0.810939355,0.607881489,0.580886154,0.534925161,0.483283023,0.453527319,0.436733226,0.504835575,0.298526327,0.473801128,0.558039601,0.698302683,0.75033207,0.769010137,0.787407709,0.853242207
Project = 21,0.977479991,0.9009551,0.79126687,0.618980612,0.622672373,0.627367841,0.525162841,0.497541593,0.499335822,0.355031359,0.560906374,0.680817367,0.715965123,0.629126201,0.556787913,0.613116178,0.682666933,0.723455561
Project = 22,0.882271798,0.882271798,0.608478025,0.537309685,0.545012925,0.450586251,0.392981688,0.34916848,0.306645807,0.298043408,0.298043408,0.530488431,0.447333416,0.528690977,0.55093097,0.511693168,0.607500008,0.559762368
Project = 23,0.685683468,0.549886434,0.514937906,0.526020941,0.512403182,0.479155103,0.421693331,0.408301228,0.374033487,0.642188146,0.678693175,0.672938552,0.643123895,0.696996561,0.697080873,0.746217513,0.741650366,0.821560134
Project = 24,0.615248076,0.559951757,0.543635523,0.53659424,0.440711535,0.384283362,0.419130233,0.410062371,0.401823469,0.689833727,0.665618211,0.536751554,0.523840471,0.632337513,0.754542695,0.736539156,0.825726529,0.856114962
Project = 25,0.955333492,0.628125656,0.566609756,0.500548051,0.455456302,0.466055403,0.330509055,0.3887831,0.406836097,0.028469537,0.497727834,0.541047376,0.603556993,0.590006257,0.645123998,0.803797937,0.779519795,0.731578457
Project = 26,0.845570035,0.690745238,0.594953951,0.540366416,0.489902686,0.467651122,0.454457683,0.461153603,0.443823632,0.698344687,0.591246096,0.658111409,0.722553175,0.742642677,0.791361544,0.843365669,0.72559365,0.770185465
Project = 27,0.880912472,0.681056646,0.627292261,0.531889329,0.480675687,0.480312993,0.498997971,0.442086497,0.371728739,0.598483123,0.601173394,0.684263651,0.760625254,0.791203315,0.825001693,0.67784636,0.852784148,0.837436038
Project = 28,0.90834798,0.710172369,0.70629275,0.649752798,0.542603856,0.487825575,0.449514153,0.454194312,0.468992792,0.648594815,0.722430869,0.536270245,0.560655368,0.625022808,0.657355882,0.692335617,0.642308027,0.618775939
Project = 29,0.583065153,0.543294886,0.535134961,0.464767651,0.353541354,0.366281751,0.379957672,0.352536141,0.319305872,0.652134266,0.556620741,0.556064144,0.628724636,0.720249052,0.699048303,0.60749992,0.580138124,0.507118178
Project = 30,0.766608127,0.674388202,0.528122244,0.417745627,0.396328703,0.388697785,0.312538265,0.289019644,0.376520169,0.720534394,0.423402334,0.512462701,0.586409744,0.589943826,0.59997346,0.621700691,0.618069941,0.572125518
Project = 31,0.879927597,0.737592141,0.700322895,0.702060756,0.631083906,0.579913406,0.569548215,0.57628809,0.578626906,0.638317802,0.733799509,0.908260718,0.647344737,0.671649687,0.719275512,0.728186885,0.69559671,0.717360047
Project = 32,0.992127216,0.952632033,0.912757073,0.849454904,0.81574593,0.738962904,0.687431262,0.598415508,0.615669355,0.408161602,0.832046972,0.590157848,0.641648296,0.625053568,0.661040457,0.712071119,0.8049037,0.672007494
Project = 33,0.890145627,0.815750089,0.809128582,0.695437873,0.696086621,0.575624629,0.527195801,0.524858509,0.526380268,0.726654905,0.898248111,0.500249401,0.553611642,0.706033644,0.679524049,0.681510091,0.616737354,0.711392187
Project = 34,0.90314062,0.796522388,0.748081571,0.714094599,0.678789445,0.594488717,0.510507986,0.478749833,0.486726995,0.607082285,0.705742232,0.837697278,0.739433407,0.723522477,0.744038093,0.774672062,0.833861117,0.764067132
Project = 35,0.939182903,0.819586579,0.77610958,0.607712523,0.568553323,0.572188966,0.539755224,0.489385285,0.430386719,0.730396223,0.839597218,0.539360449,0.627334654,0.65913675,0.645260564,0.67324352,0.708209313,0.737901366
Project = 36,0.638169473,0.556035134,0.571020369,0.497626292,0.441500237,0.406291159,0.431829336,0.372439663,0.337267124,0.722555454,0.748175767,0.686281916,0.777118477,0.773920455,0.862976768,0.806522382,0.82322568,0.908100493
Project = 37,0.697100398,0.588585048,0.560867962,0.516881947,0.492973316,0.486976356,0.474944112,0.44183345,0.437297811,0.61303111,0.555077962,0.472231328,0.502525181,0.587113336,0.552483811,0.510691802,0.558807787,0.576707678
Project = 38,0.878349245,0.694644428,0.44647256,0.480529932,0.464379711,0.418295326,0.354845733,0.396344102,0.432403167,0.206609915,0.479886504,0.575590627,0.610208931,0.696035299,0.719985895,0.808220189,0.758402594,0.681061526
Project = 39,0.65201132,0.618869918,0.592407559,0.550896062,0.502526467,0.493528599,0.368728362,0.301789597,0.236289619,0.587648408,0.519832659,0.543218118,0.610979919,0.629370585,0.591240154,0.741307178,0.905522189,1.005448193
Project = 40,0.717196966,0.498169145,0.517178886,0.494013577,0.366750742,0.285594204,0.275868231,0.299670633,0.131773461,0.726832325,0.693907673,0.473867538,0.555491044,0.734945642,0.709445831,0.694697033,0.538974225,0.636385633
Project = 41,0.670996112,0.475781178,0.395119385,0.38239673,0.446550648,0.444527319,0.40121331,0.433916926,0.406586741,0.766026887,0.827539261,0.855860545,0.805513375,0.620969489,0.728718449,0.78467985,0.659832391,0.711898958
Project = 42,0.657953957,0.639292534,0.509857787,0.509256525,0.464077867,0.460136058,0.386279358,0.35873532,0.359607452,0.736123374,0.694621002,0.705029092,0.745267083,0.846898436,0.814777908,0.828203421,0.899386909,0.869916337
Project = 43,0.681431448,0.673128381,0.511227056,0.516134341,0.471163798,0.460460005,0.448984044,0.406823418,0.386265484,0.759525912,0.659610341,0.680791625,0.697917767,0.738820353,0.761979267,0.732294564,0.769065104,0.789151568
Project = 44,0.83949643,0.748395984,0.577018724,0.57887718,0.538145137,0.61621101,0.447948033,0.442967891,0.382063956,0.408354552,0.399925159,0.595595921,0.509478677,0.580003483,0.582559938,0.558256012,0.724914141,0.813795126
Project = 45,0.522843228,0.587084565,0.389060164,0.421249686,0.44302579,0.34074175,0.320090318,0.318711529,0.335583228,0.733327742,0.616684762,0.71830647,0.679471525,0.678250577,0.741422317,0.610448668,0.471133478,0.487660067
Project = 46,0.890963765,0.745681426,0.627764708,0.540326429,0.505450958,0.440532632,0.389720872,0.456730916,0.406913808,0.061273559,0.247919161,0.337657582,0.425131134,0.5088025,0.642896645,0.681795928,0.492488627,0.506955243
Project = 47,0.944186366,0.793946459,0.691728678,0.578627986,0.60829686,0.339944258,0.358794039,0.420400993,0.452469294,0.694470863,0.778354618,0.852248429,0.933271135,0.701623928,0.674236843,0.595518271,0.605634459,0.631775393
